,bsd,date,endtime,id,name,starttime,street,town,url,zipcode,address,geocodestatus_try1,geocodestatus_try2,lat,long
503,west,2016-09-15,20:30,4067,Gymnasium  St. Kaspar,17:30,Paderborner Str. 24,Bad Driburg,"terminerinnerung.php?event_id=4067&&
              bsd=west&&
              date=2016-09-15&&
              start=17:30&&
              end=20:30&&
              name1=Gymnasium++St.+Kaspar&&
              name2=&&
              street=Paderborner+Str.+24&&
              plz=33014&&
              town=Bad+Driburg&&
              tort=NEUQ ",33014,"Paderborner Str. 24, 33014 Bad Driburg",1,0,51.6758692,8.99724481328
504,west,2016-09-15,20:00,4068,Realschule in der Südstadt,16:00,Gertrudenstr. 12,Paderborn,"terminerinnerung.php?event_id=4068&&
              bsd=west&&
              date=2016-09-15&&
              start=16:00&&
              end=20:00&&
              name1=Realschule+in+der+S%FCdstadt&&
              name2=&&
              street=Gertrudenstr.+12&&
              plz=33098&&
              town=Paderborn&&
              tort=PAEL ",33098,"Gertrudenstr. 12, 33098 Paderborn",1,0,51.70284865,8.76166894152
505,west,2016-09-15,20:00,4069,DRK-Familienzentrum,16:00,Parkstr. 19,Rheda-Wiedenbrück,"terminerinnerung.php?event_id=4069&&
              bsd=west&&
              date=2016-09-15&&
              start=16:00&&
              end=20:00&&
              name1=DRK-Familienzentrum&&
              name2=&&
              street=Parkstr.+19&&
              plz=33378&&
              town=Rheda-Wiedenbr%FCck&&
              tort=RHKW ",33378,"Parkstr. 19, 33378 Rheda-Wiedenbrück",1,0,51.85861245,8.30270427324
506,bawue,2016-09-15,20:00,9410,{},15:45,Hauptstr.19,Weilmünster,"terminerinnerung.php?event_id=9410&&
              bsd=bawue&&
              date=2016-09-15&&
              start=15:45&&
              end=20:00&&
              name1=&&
              name2=B%FCrgerhaus&&
              street=Hauptstr.19&&
              plz=35789&&
              town=Weilm%FCnster&&
              tort=3578904200",35789,"Hauptstr.19, 35789 Weilmünster",1,0,50.4346786,8.3692086
507,bawue,2016-09-15,20:00,9399,{},16:30,Findloser Weg 2,Hilders,"terminerinnerung.php?event_id=9399&&
              bsd=bawue&&
              date=2016-09-15&&
              start=16:30&&
              end=20:00&&
              name1=&&
              name2=Ulstersaal&&
              street=Findloser+Weg+2&&
              plz=36115&&
              town=Hilders&&
              tort=3611502500",36115,"Findloser Weg 2, 36115 Hilders",1,0,50.5676829,9.9999334
508,bawue,2016-09-15,19:45,9398,{},15:45,Marktstr. 2,Eiterfeld,"terminerinnerung.php?event_id=9398&&
              bsd=bawue&&
              date=2016-09-15&&
              start=15:45&&
              end=19:45&&
              name1=&&
              name2=B%FCrgerhaus+Eiterfeld&&
              street=Marktstr.+2&&
              plz=36132&&
              town=Eiterfeld&&
              tort=3613212",36132,"Marktstr. 2, 36132 Eiterfeld",1,0,50.7620587,9.7916875
509,bawue,2016-09-15,20:00,9415,{},15:30,Schillerstr. 3,Alsfeld,"terminerinnerung.php?event_id=9415&&
              bsd=bawue&&
              date=2016-09-15&&
              start=15:30&&
              end=20:00&&
              name1=&&
              name2=Geschwister-Scholl-Schule&&
              street=Schillerstr.+3&&
              plz=36304&&
              town=Alsfeld&&
              tort=3630415",36304,"Schillerstr. 3, 36304 Alsfeld",1,0,50.7467971,9.26695064134
510,ns,2016-09-15,19:00,1158,Gemeindehaus der Neuap. Kirche,14:30,An den Teichen 47,Holzminden,"terminerinnerung.php?event_id=1158&&
              bsd=ns&&
              date=2016-09-15&&
              start=14:30&&
              end=19:00&&
              name1=Gemeindehaus+der+Neuap.+Kirche&&
              name2=&&
              street=An+den+Teichen+47&&
              plz=37603&&
              town=Holzminden&&
              tort=2576",37603,"An den Teichen 47, 37603 Holzminden",1,0,51.8259632,9.4607742
511,ns,2016-09-15,18:30,1263,IKEA Braunschweig / BluMo,14:00,Hansestraße 27,Braunschweig,"terminerinnerung.php?event_id=1263&&
              bsd=ns&&
              date=2016-09-15&&
              start=14:00&&
              end=18:30&&
              name1=IKEA+Braunschweig+%2F+BluMo&&
              name2=&&
              street=Hansestra%DFe+27&&
              plz=38112&&
              town=Braunschweig&&
              tort=8376",38112,"Hansestraße 27, 38112 Braunschweig",1,0,52.30887775,10.5044704407
512,ns,2016-09-15,19:00,1117,Sportzentrum Nordsteimke,16:00,Steinbeker Straße 35,Wolfsburg,"terminerinnerung.php?event_id=1117&&
              bsd=ns&&
              date=2016-09-15&&
              start=16:00&&
              end=19:00&&
              name1=Sportzentrum+Nordsteimke&&
              name2=&&
              street=Steinbeker+Stra%DFe+35&&
              plz=38446&&
              town=Wolfsburg&&
              tort=959",38446,"Steinbeker Straße 35, 38446 Wolfsburg",1,0,52.3938269,10.8302938437
513,ns,2016-09-15,19:30,1202,Begegnungsstätte,15:00,Talstraße 3,Goslar,"terminerinnerung.php?event_id=1202&&
              bsd=ns&&
              date=2016-09-15&&
              start=15:00&&
              end=19:30&&
              name1=Begegnungsst%E4tte&&
              name2=&&
              street=Talstra%DFe+3&&
              plz=38642&&
              town=Goslar&&
              tort=1816",38642,"Talstraße 3, 38642 Goslar",1,0,51.89961385,10.4819558471
514,west,2016-09-15,19:30,2288,Evangl. Gemeindesaal Unterbilk,15:00,Florastr. 55 b,Düsseldorf,"terminerinnerung.php?event_id=2288&&
              bsd=west&&
              date=2016-09-15&&
              start=15:00&&
              end=19:30&&
              name1=Evangl.+Gemeindesaal+Unterbilk&&
              name2=&&
              street=Florastr.+55+b&&
              plz=40217&&
              town=D%FCsseldorf&&
              tort=40028",40217,"Florastr. 55 b, 40217 Düsseldorf",1,0,51.21180325,6.77155991745
515,west,2016-09-15,19:30,2289,Evangl. Gemeindehaus,15:00,Stettiner Str. 10,Langenfeld (Rheinland),"terminerinnerung.php?event_id=2289&&
              bsd=west&&
              date=2016-09-15&&
              start=15:00&&
              end=19:30&&
              name1=Evangl.+Gemeindehaus&&
              name2=&&
              street=Stettiner+Str.+10&&
              plz=40764&&
              town=Langenfeld+%28Rheinland%29&&
              tort=40233",40764,"Stettiner Str. 10, 40764 Langenfeld (Rheinland)",1,0,51.1069324,6.9470608
516,west,2016-09-15,20:00,2290,Spendestation,14:00,Linneper Weg 1,Ratingen,"terminerinnerung.php?event_id=2290&&
              bsd=west&&
              date=2016-09-15&&
              start=14:00&&
              end=20:00&&
              name1=Spendestation&&
              name2=&&
              street=Linneper+Weg+1&&
              plz=40885&&
              town=Ratingen&&
              tort=40299",40885,"Linneper Weg 1, 40885 Ratingen",1,0,51.35479675,6.86751612496
